category,item,sheet,cell_or_range,existing_value,required_for_santiago,unit,source_strategy,final_value,source,confidence_class,notes
Load,Hourly Santiago load vector,Hourly Load,F7:F8766,Barbados/default formula values,Yes,MWh/h = MW,Use Santiago DTU equivalent-week shape scaled to Electra official 2023 annual production.,8760 values; sum 263839.489 MWh; peak 42.040 MW,Electra 2023 report pages 25-26; DTU SantiagoData_v4.xlsx Equivalent Week Profile Load; prior reconstructed CSV if available,A/B/C,Annual total is official; hourly shape is scientific public reconstruction; hourly SCADA accuracy cannot be certified.
Weather,Hourly wind speed vector,Wind and Solar Input,D5:D8764,Barbados/default weather,Yes,m/s,Use Open-Meteo Historical API at Santiago wind-farm coordinates.,8760 hourly wind_speed_10m values,Open-Meteo Historical API; GEM Santiago wind farm coordinates,C,"Reanalysis data, not measured turbine mast data."
Weather,Hourly total solar radiation vector,Wind and Solar Input,E5:E8764,Barbados/default weather,Yes,kW/m2,Use Open-Meteo shortwave_radiation at Santiago/Palmarejo PV coordinates; convert W/m2 to kW/m2.,8760 hourly shortwave radiation values,Open-Meteo Historical API; GEM Santiago solar farm coordinates,C,"Reanalysis data, not a ground pyranometer series."
Scenario,Wind power capacity installed,Input & Output,C5,288,Yes,MW,Existing-capacity first scenario; editable.,9.35,Cabeolica/GEM Santiago wind farm,B,"Public plant capacity used for conservative start, not a 100% RE sizing result."
Scenario,PV capacity installed,Input & Output,C6,49,Yes,MW,Existing-capacity first scenario; editable.,4.4,GEM Santiago solar farm,B,"Public plant capacity used for conservative start, not a 100% RE sizing result."
Scenario,Solid biomass capacity installed,Input & Output,C7,1e-08,Yes,MW,Use near-zero because no sourced Santiago biomass plant is selected.,1e-08,Scenario assumption,D,Near-zero avoids formula issues while representing unused technology.
Scenario,Geothermal capacity installed,Input & Output,C8,1e-08,Yes,MW,Use near-zero because no sourced Santiago geothermal plant is selected.,1e-08,Scenario assumption,D,Near-zero avoids formula issues while representing unused technology.
Scenario,Waste to energy installed,Input & Output,C9,1e-08,Yes,MW,Use near-zero because no sourced Santiago waste-to-energy plant is selected.,1e-08,Scenario assumption,D,Near-zero avoids formula issues while representing unused technology.
Scenario,Start volume storage,Input & Output,C10,1500,Yes,MWh,Set to 50% of max storage.,1500.0,Scenario assumption,D,"Operating assumption, not an existing Santiago storage measurement."
Scenario,Max storage,Input & Output,C11,3000,Yes,MWh,Initial scenario value requested by user.,3000.0,Scenario assumption,D,Not an existing Santiago storage measurement.
